"Time","hours","4 aSf 5 PrLDm","4 aSf 10 PrLDm","4 aSf 15 PrLDm","4 aSf 20 PrLDm","4 aSf 25 PrLDm","4 aSf 30 PrLDm","0 aSf 5 PrLDm","0 aSf 10 PrLDm","0 aSf 15 PrLDm","0 aSf 20 PrLDm","0 aSf 25 PrLDm","0 aSf 30 PrLDm","0.1 aSf 5 PrLDm","0.1 aSf 10 PrLDm","0.1 aSf 15 PrLDm","0.1 aSf 20 PrLDm","0.1 aSf 25 PrLDm","0.1 aSf 30 PrLDm","0.5 aSf 5 PrLDm","0.5 aSf 10 PrLDm","0.5 aSf 15 PrLDm","0.5 aSf 20 PrLDm","0.5 aSf 25 PrLDm","0.5 aSf 30 PrLDm","1 aSf 5 PrLDm","1 aSf 10 PrLDm","1 aSf 15 PrLDm","1 aSf 20 PrLDm","1 aSf 25 PrLDm","1 aSf 30 PrLDm","2 aSf 5 PrLDm","2 aSf 10 PrLDm","2 aSf 15 PrLDm","2 aSf 20 PrLDm","2 aSf 25 PrLDm","2 aSf 30 PrLDm","0.1 aSf 0 PrLDm","0.5 aSf 0 PrLDm","1 aSf 0 PrLDm","2 aSf 0 PrLDm","4 aSf 0 PrLDm"
1899-12-31 00:00:03,0,1822,616,1181,5771,6758,6981,135,174,224,296,370,425,138,216,277,399,515,511,193,308,445,545,644,782,373,292,520,696,814,950,61,788,467,2696,2606,2238,95,198,183,617,1203
1899-12-31 00:20:03,0.333333333333333,769,1182,1698,4097,6677,7292,131,172,214,285,374,436,143,221,301,392,525,525,186,316,433,554,627,957,294,314,536,690,790,917,62,762,652,1291,1730,2185,101,183,180,530,1330
1899-12-31 00:40:03,0.666666666666667,925,2277,1991,1279,6417,6181,129,174,211,290,363,422,143,222,315,406,541,544,193,294,452,553,630,1009,266,323,583,635,903,962,60,699,806,1362,1596,2171,91,214,218,483,1701
1899-12-31 01:00:03,1,847,895,1549,2044,2570,6590,135,169,208,291,364,444,146,234,316,408,558,541,211,295,384,535,643,911,258,238,500,627,681,904,62,652,578,1400,1456,2279,91,209,210,523,1361
1899-12-31 01:20:03,1.33333333333333,1062,930,758,1155,2947,2134,126,167,209,279,368,455,146,234,305,414,505,544,196,292,345,515,607,833,310,318,598,565,628,872,60,643,456,1596,1248,2669,92,232,204,570,1477
1899-12-31 01:40:03,1.66666666666667,408,899,648,623,2114,1203,130,173,214,296,378,443,140,236,305,399,536,553,243,280,348,491,623,906,248,270,354,493,624,825,59,822,308,906,1539,2365,102,221,178,689,1635
1899-12-31 02:00:03,2,1038,614,559,800,2877,1102,127,179,222,297,382,470,145,252,296,404,558,542,184,261,346,507,633,878,409,461,446,515,552,766,63,418,501,1136,1306,1837,98,186,213,482,1319
1899-12-31 02:20:03,2.33333333333333,1100,692,1750,652,1782,1153,120,173,219,292,386,467,147,276,320,399,558,560,180,277,343,520,583,926,312,240,581,501,626,759,53,470,315,1618,1086,2013,94,171,201,481,2557
1899-12-31 02:40:03,2.66666666666667,438,626,503,1024,1755,1306,123,172,221,298,383,459,148,279,286,397,527,565,170,311,302,480,573,931,333,246,829,589,532,764,57,553,367,726,1044,1587,93,187,233,410,1121
1899-12-31 03:00:03,3,1837,675,1355,1756,1428,1309,124,177,219,310,391,468,144,281,297,409,497,557,177,327,313,455,612,1030,286,626,340,532,483,721,56,484,394,1458,888,1480,98,177,214,816,1375
1899-12-31 03:20:03,3.33333333333333,432,2617,698,629,1643,2044,123,173,227,310,388,472,146,277,295,403,507,570,178,297,290,464,602,934,247,314,580,419,488,686,61,637,330,1034,2137,1545,95,213,174,877,1201
1899-12-31 03:40:03,3.66666666666667,874,545,824,870,2115,1765,126,180,227,318,395,477,151,304,313,398,484,567,177,231,323,450,554,929,502,193,481,456,603,700,56,328,205,1047,1374,2191,96,166,191,418,1448
1899-12-31 04:00:03,4,522,505,878,534,1669,2081,127,178,224,320,397,485,145,293,300,401,507,572,184,288,372,433,554,911,314,189,367,211,511,656,61,320,532,375,893,1909,98,195,187,457,811
1899-12-31 04:20:03,4.33333333333333,459,741,460,1127,1074,2432,127,178,222,328,404,485,147,289,306,398,529,575,188,283,265,533,543,936,400,387,233,236,459,627,58,273,323,745,1401,1523,98,172,242,764,922
1899-12-31 04:40:03,4.66666666666667,434,871,1265,500,2163,1835,130,178,233,320,405,495,146,318,304,407,499,589,161,247,267,442,689,1057,285,370,287,327,481,658,60,436,417,408,1945,2292,94,175,203,468,1449
1899-12-31 05:00:03,5,589,562,992,1694,1592,2783,134,180,234,331,415,502,140,312,334,397,514,586,159,282,316,481,557,891,332,371,445,316,532,628,55,443,236,1487,1966,1750,90,218,167,943,1122
1899-12-31 05:20:03,5.33333333333333,526,589,882,705,2266,1091,123,185,230,328,410,510,148,335,301,414,508,594,158,231,287,615,559,1061,357,267,231,328,498,703,63,344,365,409,892,3006,97,186,175,392,982
1899-12-31 05:40:03,5.66666666666667,1360,1068,1218,603,2365,1390,127,183,231,331,421,503,148,303,288,402,519,590,196,285,311,404,590,888,360,312,343,377,780,566,62,449,660,1244,933,1372,97,173,171,352,1648
1899-12-31 06:00:03,6,446,2811,1973,1651,1457,1598,123,185,232,333,413,515,153,351,314,415,516,594,174,224,259,529,617,1047,414,396,166,488,546,627,59,447,617,653,912,2328,101,220,212,484,3030
1899-12-31 06:20:03,6.33333333333333,615,895,1423,2103,2557,2075,133,191,227,338,422,530,143,317,305,399,513,612,166,263,258,492,631,902,510,110,179,531,588,542,60,267,349,338,455,2319,97,201,185,414,1196
1899-12-31 06:40:03,6.66666666666667,852,1405,899,619,1346,3386,129,182,236,341,420,529,147,381,303,407,506,605,187,262,210,435,915,1036,505,337,155,903,509,615,65,273,236,832,2875,1631,102,242,182,904,1691
1899-12-31 07:00:03,7,468,653,1440,1558,2276,1672,127,182,232,340,411,539,147,301,303,401,510,616,174,277,308,367,622,965,405,186,733,222,685,668,60,448,763,1513,908,2668,102,230,190,475,2509
1899-12-31 07:20:03,7.33333333333333,507,754,1010,670,2815,2109,120,186,239,340,428,539,147,270,320,419,524,602,159,243,269,357,572,886,231,137,444,197,474,659,60,857,270,697,1197,2234,97,249,176,739,2388
1899-12-31 07:40:03,7.66666666666667,524,614,1034,441,3279,1653,128,186,236,341,428,576,147,259,338,401,519,628,159,309,272,547,732,996,235,308,283,212,596,582,63,668,1498,481,516,2119,92,267,210,335,1303
1899-12-31 08:00:03,8,609,1286,476,2370,1664,1793,128,192,238,351,431,570,143,307,301,394,506,609,167,190,282,487,620,858,240,213,174,519,500,658,58,339,532,1401,286,3254,96,187,249,775,1843
1899-12-31 08:20:03,8.33333333333333,557,1153,3321,1642,1513,1331,127,187,240,352,434,587,141,273,303,404,538,621,171,256,202,444,774,991,235,343,162,250,598,570,56,429,423,694,947,3002,100,201,152,602,1342
